# t (s)	mx ()	my ()	mz ()	m_zrange0-20_x ()	m_zrange0-20_y ()	m_zrange0-20_z ()	m_zrange21-31_x ()	m_zrange21-31_y ()	m_zrange21-31_z ()	m_zrange32-52_x ()	m_zrange32-52_y ()	m_zrange32-52_z ()
7.600000000000495e-10	0.33351082	0.07489432	-0.008725156	0.5273687	0.0039958707	-0.0031315559	-0.37521914	0.3734663	-0.032844625	0.5273689	0.003996186	-0.003131535
7.700000000000526e-10	0.33685592	0.07188957	-0.008519397	0.5409206	0.003244652	-0.0026407184	-0.4120319	0.36084655	-0.033738088	0.54092073	0.003244977	-0.0026406688
7.800000000000556e-10	0.3413203	0.06879056	-0.009520379	0.5551871	0.0031856918	-0.0034047477	-0.4458829	0.34496754	-0.035887092	0.5551871	0.003186008	-0.0034046888
7.900000000000587e-10	0.34593874	0.06593619	-0.0117235435	0.56856287	0.0044545475	-0.005471921	-0.47536945	0.32504946	-0.039074846	0.5685628	0.004454826	-0.0054718694
8.000000000000618e-10	0.35039377	0.064162	-0.014922323	0.5809451	0.008102329	-0.009319055	-0.5017328	0.30123264	-0.040319946	0.580945	0.008102542	-0.009319012
8.100000000000648e-10	0.35384983	0.0656189	-0.018460883	0.59146315	0.01588536	-0.014481759	-0.52583355	0.27767664	-0.038069658	0.59146315	0.01588549	-0.014481708
8.200000000000679e-10	0.35538027	0.071328215	-0.021157907	0.59872365	0.028098878	-0.019106919	-0.546917	0.25851116	-0.033593558	0.5987236	0.028098926	-0.019106856
8.30000000000071e-10	0.354718	0.07901793	-0.02214258	0.60220873	0.041534226	-0.02185521	-0.5643011	0.24475643	-0.027720675	0.6022086	0.041534185	-0.021855157
8.40000000000074e-10	0.35260785	0.08689046	-0.0210188	0.6027499	0.05362895	-0.021813028	-0.5774382	0.23731482	-0.022045713	0.60274965	0.05362884	-0.021812987
8.500000000000771e-10	0.34945953	0.094149776	-0.017807445	0.6012593	0.06355122	-0.018339023	-0.5878471	0.2353743	-0.019242663	0.60125905	0.06355104	-0.018338999
8.600000000000802e-10	0.3454216	0.09886237	-0.013115845	0.59910464	0.06981587	-0.012554857	-0.6002258	0.23482129	-0.017982997	0.5991044	0.06981565	-0.012554841
8.700000000000832e-10	0.3419441	0.09966365	-0.008648901	0.59839857	0.07129068	-0.0068351864	-0.6154848	0.23308873	-0.017633565	0.5983984	0.071290456	-0.006835174
8.800000000000863e-10	0.34002784	0.09613066	-0.0060540657	0.59987175	0.06800775	-0.0030149736	-0.63134205	0.22784886	-0.019421253	0.59987164	0.06800755	-0.0030149694
8.900000000000894e-10	0.33923227	0.088733904	-0.005743352	0.60295755	0.061162136	-0.0018483935	-0.6478217	0.21676806	-0.022471841	0.60295737	0.061161995	-0.0018484027
9.000000000000924e-10	0.33835602	0.07964642	-0.007357138	0.6063611	0.05370001	-0.0033380059	-0.66599256	0.19936153	-0.024905045	0.60636085	0.053699903	-0.0033380326
9.100000000000955e-10	0.33675072	0.07138506	-0.010281199	0.60934496	0.04860348	-0.006826084	-0.6862761	0.17678854	-0.026157826	0.60934484	0.048603408	-0.0068261204
9.200000000000986e-10	0.3346723	0.06566426	-0.013521781	0.6116491	0.047530875	-0.011015175	-0.70630014	0.15133074	-0.026252482	0.6116489	0.047530837	-0.011015216
9.300000000001016e-10	0.33302748	0.06334749	-0.015720326	0.6135005	0.050962515	-0.014051089	-0.7222587	0.12555692	-0.025541266	0.61350036	0.0509625	-0.014051127
9.400000000001047e-10	0.3326115	0.06372816	-0.016572516	0.61565584	0.057580728	-0.0152069675	-0.7330434	0.101063535	-0.025349155	0.6156558	0.05758072	-0.015206997
9.500000000001078e-10	0.33323762	0.06486136	-0.016566684	0.6178409	0.06494055	-0.014947772	-0.7385279	0.0775169	-0.026355654	0.6178409	0.06494052	-0.014947778
9.600000000001108e-10	0.3333673	0.064898156	-0.016040375	0.6183159	0.070713446	-0.013972044	-0.7397538	0.054616787	-0.027521824	0.6183158	0.070713356	-0.01397202
9.70000000000114e-10	0.33130345	0.06343338	-0.015507742	0.61602515	0.07440053	-0.013022447	-0.7413228	0.03225172	-0.028550556	0.6160251	0.07440038	-0.013022402
9.80000000000117e-10	0.32647008	0.06218975	-0.015242389	0.6111657	0.07793661	-0.01252275	-0.74701834	0.0116406055	-0.029169526	0.61116564	0.0779364	-0.012522702
9.9000000000012e-10	0.32047933	0.06316315	-0.015127089	0.6054798	0.08351608	-0.012376867	-0.75542635	-0.0056155515	-0.02915343	0.6054797	0.08351585	-0.012376843
1.0000000000001231e-09	0.31534907	0.06580908	-0.014698293	0.60066307	0.090685904	-0.011892615	-0.76283693	-0.020535972	-0.028860623	0.6006629	0.09068567	-0.011892637
1.0100000000001262e-09	0.31210217	0.06818284	-0.013786722	0.59774446	0.0971665	-0.010605167	-0.76804626	-0.034114864	-0.029270176	0.59774435	0.09716633	-0.010605225
1.0200000000001292e-09	0.31145808	0.06832461	-0.012429042	0.59779835	0.10080685	-0.008465163	-0.77161086	-0.047939174	-0.030770227	0.59779817	0.10080673	-0.0084652295
1.0300000000001323e-09	0.31334558	0.06468136	-0.010812607	0.6010989	0.10004397	-0.006094467	-0.7749981	-0.063832656	-0.031847585	0.6010987	0.10004389	-0.00609452
1.0400000000001354e-09	0.31705552	0.057887767	-0.00891452	0.60707724	0.095173195	-0.003988552	-0.77962005	-0.07967634	-0.030401241	0.6070771	0.09517318	-0.003988576
1.0500000000001384e-09	0.321307	0.05043132	-0.0070689004	0.614227	0.08836292	-0.0027009386	-0.78611135	-0.09120884	-0.02595456	0.6142269	0.08836293	-0.0027009223
1.0600000000001415e-09	0.3242188	0.0446093	-0.0062118303	0.61988974	0.08228339	-0.00298507	-0.7936204	-0.09716519	-0.020361336	0.61988956	0.0822834	-0.0029850225
1.0700000000001446e-09	0.3239841	0.042176597	-0.006657432	0.6213695	0.07920252	-0.004702844	-0.8007604	-0.097491786	-0.015807392	0.6213693	0.07920251	-0.004702783
1.0800000000001476e-09	0.3201532	0.043832295	-0.0077503095	0.61773413	0.07981736	-0.006688115	-0.8061396	-0.0913414	-0.013549253	0.61773396	0.0798173	-0.006688063
1.0900000000001507e-09	0.31369874	0.048180554	-0.008335111	0.6103393	0.08239937	-0.007488165	-0.81012374	-0.07905842	-0.013389972	0.6103392	0.08239927	-0.007488136
1.1000000000001538e-09	0.30603802	0.052640017	-0.007568896	0.60158044	0.08415243	-0.006163831	-0.81492376	-0.062881365	-0.014702952	0.60158026	0.08415228	-0.0061638225
1.1100000000001568e-09	0.29838103	0.054668836	-0.005716262	0.59349835	0.082765535	-0.0034117945	-0.8224119	-0.046783805	-0.016077375	0.5934983	0.08276534	-0.0034117973
